dataset,ir,rho,seed,ece,brier,auc,pr_auc,f1
pima,1.87,0.25,9,0.19728568614319902,0.2300100348068003,0.7731044776119402,0.6002036532980548,0.5973534971644613
pima,1.87,0.5,0,0.1760473482614287,0.21332033822777308,0.7937910447761195,0.6380862912301334,0.6355140186915887
pima,1.87,0.5,1,0.19767001774204412,0.22230808470873145,0.7931268656716419,0.6446872456106213,0.6162361623616236
pima,1.87,0.5,2,0.20273380751541026,0.22196453743837088,0.7930820895522388,0.6568892816898603,0.6176470588235294
pima,1.87,0.5,3,0.19215391881848906,0.21648611862593617,0.7902014925373135,0.6331500701331212,0.6077348066298343
pima,1.87,0.5,4,0.17835457224993362,0.20794588955844406,0.8041567164179104,0.6552449382185801,0.6445672191528545
pima,1.87,0.5,5,0.18500615261773268,0.21463866462064596,0.7975597014925373,0.6402118619459569,0.6284658040665434
pima,1.87,0.5,6,0.19226018907425702,0.21979458684963618,0.7913283582089552,0.6335594483777521,0.633147113594041
pima,1.87,0.5,7,0.18518705515652123,0.21495428241135614,0.7946567164179106,0.6430526570023786,0.6148148148148148
pima,1.87,0.5,8,0.1899221730450775,0.21781835016276432,0.7917089552238806,0.6293892019296629,0.6196660482374768
pima,1.87,0.5,9,0.20615854060537303,0.22983669853843933,0.7768358208955224,0.6219457698179103,0.602996254681648
pima,1.87,0.75,0,0.1806203076178176,0.2132827529045358,0.7935820895522389,0.637244263103241,0.630188679245283
pima,1.87,0.75,1,0.19468115268258646,0.22183018652128453,0.7924850746268658,0.6342933702191781,0.6292947558770343
pima,1.87,0.75,2,0.19943698227385023,0.22144557230765538,0.7971492537313434,0.6688611174521298,0.6122448979591837
pima,1.87,0.75,3,0.18923849383187885,0.2208125897860019,0.7871417910447761,0.6366403517465249,0.6247689463955638
pima,1.87,0.75,4,0.181638059524442,0.21212264548844542,0.8022835820895523,0.6493147095604667,0.6484517304189436
pima,1.87,0.75,5,0.19183993990293474,0.2194146000460914,0.7917611940298508,0.635416948893423,0.6265938069216758
pima,1.87,0.75,6,0.20631414265025505,0.2274767213685572,0.7903880597014925,0.6349383766586852,0.5927272727272728
pima,1.87,0.75,7,0.18238286339039755,0.21092808064811383,0.7976567164179105,0.6594133731031637,0.6219739292364991
pima,1.87,0.75,8,0.1741213340561973,0.2069465535655958,0.8037238805970149,0.6481308408194306,0.6319702602230484
pima,1.87,0.75,9,0.20880391673395696,0.23191274982735052,0.7779328358208956,0.6125116637586118,0.5947955390334573
pima,1.87,1.0,0,0.19595916267727148,0.21997874475677656,0.7984552238805971,0.6425237536029714,0.6335174953959485
pima,1.87,1.0,1,0.18969214105591492,0.22195431190188175,0.7976791044776119,0.6433884951027709,0.6342342342342342
pima,1.87,1.0,2,0.1990465554140019,0.2173295027661352,0.8027313432835821,0.6772066165093203,0.625
pima,1.87,1.0,3,0.1845359262114708,0.2178246963990832,0.7887835820895522,0.6365570124519556,0.6372007366482505
pima,1.87,1.0,4,0.1904495886805037,0.21688456616995824,0.7982985074626866,0.6393143622951316,0.6376811594202898
pima,1.87,1.0,5,0.19708013834684185,0.2218772516137509,0.7916194029850746,0.6275806739609207,0.6357142857142857
pima,1.87,1.0,6,0.2067707067571793,0.22995831293127952,0.7884626865671642,0.6348347650481865,0.6101083032490975
pima,1.87,1.0,7,0.18363374694070356,0.21023649045417803,0.7982014925373134,0.6576777627945388,0.631768953068592
pima,1.87,1.0,8,0.19109534920724736,0.22065560482677013,0.7968358208955224,0.6385197534416831,0.6279491833030852
pima,1.87,1.0,9,0.21934185224259567,0.24088604219935408,0.7760746268656716,0.6268267049016837,0.6079136690647482
credit_g,2.33,0.0,0,0.149320725808332,0.19278738931187725,0.7719761904761905,0.5968656336851973,0.5559701492537313
credit_g,2.33,0.0,1,0.1562560678574596,0.19374285819675047,0.7702428571428571,0.6209529756238705,0.5301645338208409
credit_g,2.33,0.0,2,0.1636022729567442,0.20060545070483418,0.7638095238095238,0.5945238742370227,0.5274336283185841
credit_g,2.33,0.0,3,0.1519444480777604,0.19648151076604217,0.7673476190476191,0.6070836463369822,0.5315985130111525
credit_g,2.33,0.0,4,0.16462952178044307,0.19884532574573638,0.7673285714285715,0.5940391455840073,0.5263157894736842
credit_g,2.33,0.0,5,0.13848508289436318,0.18397887610251906,0.7734714285714285,0.641032350769568,0.5423728813559322
credit_g,2.33,0.0,6,0.14976840729252353,0.19045006834991746,0.776495238095238,0.6087151561382023,0.5215759849906192
credit_g,2.33,0.0,7,0.1357481253321896,0.18841793333463897,0.7737666666666667,0.6221401700616189,0.5637342908438061
credit_g,2.33,0.0,8,0.14810915806195782,0.19111077119748188,0.7792952380952382,0.6274722216205206,0.5601436265709157
credit_g,2.33,0.0,9,0.15415791287259922,0.19192302650508106,0.7700380952380953,0.629510457910787,0.5357798165137615
credit_g,2.33,0.25,0,0.16327980119083696,0.19536160779947453,0.7782904761904761,0.6081417131198329,0.5387453874538746
credit_g,2.33,0.25,1,0.15493536238058994,0.19650348811639098,0.7669761904761905,0.615173169257018,0.5357798165137615
credit_g,2.33,0.25,2,0.16368808160494797,0.19818430204976148,0.7729619047619047,0.6026611403665073,0.5739130434782609
credit_g,2.33,0.25,3,0.15908095301471192,0.19800670933626985,0.7685,0.612155858587024,0.5313653136531366
credit_g,2.33,0.25,4,0.16364444172033096,0.1981410906779501,0.7708904761904762,0.6093407502695256,0.5362318840579711
credit_g,2.33,0.25,5,0.13744384151250952,0.18542483674352322,0.7748619047619048,0.6443902796522508,0.556390977443609
credit_g,2.33,0.25,6,0.16197768973781354,0.19924681803030433,0.7719952380952381,0.6026912700677585,0.5092936802973977
credit_g,2.33,0.25,7,0.14391199908961216,0.19065090694177386,0.7703619047619048,0.6202469965401584,0.5634328358208955
credit_g,2.33,0.25,8,0.15639719134672841,0.1924819163440001,0.777947619047619,0.62566232533954,0.5632798573975044
credit_g,2.33,0.25,9,0.15798418856955374,0.19667323803103756,0.7629571428571429,0.6071436149485135,0.5447761194029851
credit_g,2.33,0.5,0,0.1649905267563471,0.19931166843167775,0.7697428571428572,0.5979943841746279,0.5284403669724771
credit_g,2.33,0.5,1,0.16224834891200515,0.19636508399376476,0.7680714285714286,0.6154547707914002,0.5355191256830601
credit_g,2.33,0.5,2,0.17315681442674175,0.2042252452706533,0.7697666666666665,0.6000147179896274,0.5298245614035088
credit_g,2.33,0.5,3,0.17163036720215719,0.2018892859242789,0.7635190476190477,0.6003178607801001,0.5274725274725275
credit_g,2.33,0.5,4,0.1611674345786442,0.20124673987755087,0.7641857142857144,0.5919231923919479,0.5374771480804388
credit_g,2.33,0.5,5,0.14632757301454352,0.1884448877549018,0.7724761904761904,0.6362245816083931,0.5485074626865671
credit_g,2.33,0.5,6,0.16829827824062815,0.19925165986501878,0.7712619047619047,0.6070868001044114,0.5373134328358209
credit_g,2.33,0.5,7,0.15003546293804376,0.19052760320185858,0.7720428571428571,0.6195033594189125,0.5545286506469501
credit_g,2.33,0.5,8,0.16087221337426094,0.1977747936256635,0.7746809523809522,0.6186714224436197,0.5480943738656987
credit_g,2.33,0.5,9,0.1635631463397584,0.19938545664662363,0.7610333333333333,0.6032765946920999,0.5285171102661597
credit_g,2.33,0.75,0,0.16727023407703073,0.2017489077892215,0.7683666666666666,0.5844570461854837,0.5321100917431193
credit_g,2.33,0.75,1,0.16133641838269078,0.19811291606773926,0.7643142857142857,0.6070699858945473,0.5353159851301115
credit_g,2.33,0.75,2,0.1615439190027423,0.20044367831685891,0.7695047619047619,0.6051580008628569,0.5628318584070796
credit_g,2.33,0.75,3,0.1712854823511945,0.2037007093782316,0.758252380952381,0.5958523392140608,0.5253623188405797
credit_g,2.33,0.75,4,0.17056563005660724,0.20172174243024063,0.7689904761904762,0.6059628767689665,0.5330882352941176
credit_g,2.33,0.75,5,0.15039206349100717,0.18783410986544344,0.7705904761904763,0.6384415896559095,0.551594746716698
credit_g,2.33,0.75,6,0.17034315319473128,0.19722958735655596,0.7746285714285714,0.6072945974572401,0.5157699443413729
credit_g,2.33,0.75,7,0.1539613335079882,0.19446077807252407,0.7677809523809523,0.614088639756226,0.5484460694698354
credit_g,2.33,0.75,8,0.15743523303958942,0.19527721802722706,0.7748857142857144,0.6160594499991646,0.5667870036101083
credit_g,2.33,0.75,9,0.1659922245619137,0.20183480646022944,0.7613619047619049,0.6111258562185774,0.5397412199630314
credit_g,2.33,1.0,0,0.16694582566143046,0.19848870192701215,0.7738095238095237,0.5973225867301877,0.5212569316081331
credit_g,2.33,1.0,1,0.15628882718475529,0.1958085985401869,0.7667190476190477,0.6142150597401996,0.5343228200371057
credit_g,2.33,1.0,2,0.1658334833760165,0.20162768441608925,0.7748809523809524,0.6074610592360561,0.5418894830659536
credit_g,2.33,1.0,3,0.16982199632842393,0.20178914286121294,0.761395238095238,0.599696757638347,0.5321428571428571
credit_g,2.33,1.0,4,0.17225535961759306,0.20239029699152666,0.7632857142857143,0.6008763136154109,0.521415270018622
credit_g,2.33,1.0,5,0.1394271199707665,0.18393749718004063,0.7776142857142858,0.63832217324495,0.5677179962894249
credit_g,2.33,1.0,6,0.1528359028436157,0.19510223040382682,0.7769523809523808,0.6201447588267397,0.5269016697588126
credit_g,2.33,1.0,7,0.1450914761467137,0.19300152824203884,0.770947619047619,0.620600361890948,0.5535055350553506
credit_g,2.33,1.0,8,0.16830329091152585,0.19932505847957738,0.7718952380952381,0.6132552494588676,0.5394495412844037
credit_g,2.33,1.0,9,0.17040294442029869,0.20506431175140796,0.756304761904762,0.5973845440312997,0.5094339622641509
phoneme,2.41,0.0,0,0.025798374253634057,0.07355057273424108,0.9577054861256529,0.9077082411890546,0.83008
phoneme,2.41,0.0,1,0.023537436683413467,0.07327900025282413,0.9574496791926741,0.9096604419131498,0.8282892640968461
phoneme,2.41,0.0,2,0.020159511781989305,0.07246672365845998,0.9577000363975778,0.907069991180135,0.8287714831317632
phoneme,2.41,0.0,3,0.023030620128239906,0.07451298363982768,0.9550032467167866,0.9057636734017221,0.8279397628965075
phoneme,2.41,0.0,4,0.0217068617009525,0.07320761064658225,0.9567871243733639,0.9040386706181242,0.8284250960307298
phoneme,2.41,0.0,5,0.020688301551556126,0.07097882679915475,0.9592360339983763,0.9085806772773318,0.8326947637292464
phoneme,2.41,0.0,6,0.02450192538786225,0.07281849156893803,0.9576280339296765,0.9064427573050219,0.8338099777565936
phoneme,2.41,0.0,7,0.022779637302567688,0.07498536674739595,0.9558743774924249,0.9007760471642042,0.8267766497461929
phoneme,2.41,0.0,8,0.01861833349902227,0.07214661752821974,0.9576911186607276,0.9071681867798729,0.8336005129849311
phoneme,2.41,0.0,9,0.02375887013023685,0.07197310842437239,0.9577746811578791,0.9055283091471359,0.8311605723370429
phoneme,2.41,0.25,0,0.026995736488582712,0.07316799964050143,0.9579520450352317,0.9065235452645897,0.8355140186915888
phoneme,2.41,0.25,1,0.024394664338346424,0.07256053470649254,0.9588089734892198,0.9116113153722611,0.8325031133250311
phoneme,2.41,0.25,2,0.02598508286612554,0.07312767179748865,0.9584306302461889,0.9092803054966668,0.8329177057356608
phoneme,2.41,0.25,3,0.026302431697204667,0.07482703695520403,0.9555693578634952,0.9069981848442752,0.8278228321896444
phoneme,2.41,0.25,4,0.024439691181465054,0.07383240522171959,0.9575687474939507,0.9048286828398129,0.8285175879396985
phoneme,2.41,0.25,5,0.02481826152730025,0.0719308083789218,0.9595119884109055,0.908874658436566,0.8332284455632474
phoneme,2.41,0.25,6,0.027292205264976215,0.07393653875122175,0.9564867287561343,0.9051334104402328,0.8345278903085073
phoneme,2.41,0.25,7,0.027374717884692267,0.07638395565269691,0.9555720001558954,0.8989406574748452,0.8277363184079602
phoneme,2.41,0.25,8,0.024256815971953068,0.07291661802062684,0.9575423245699504,0.9092804691290611,0.8332296204107031
phoneme,2.41,0.25,9,0.02097503883788625,0.07296902547088864,0.9578273618626048,0.9021089040089353,0.835
phoneme,2.41,0.5,0,0.031269479773782534,0.07575456409073172,0.9568518605371649,0.9044904042508857,0.8287901990811639
phoneme,2.41,0.5,1,0.02924620503514401,0.07452847094750444,0.9577487536637036,0.9087170509533647,0.8351851851851851
phoneme,2.41,0.5,2,0.02987914616785601,0.07363442551299176,0.9586387107726922,0.9078199417106788,0.8326680994780473
