dataset,ir,seed,base_ece,base_brier,base_auc,base_pr_auc,base_f1,smote_ece,smote_brier,smote_auc,smote_pr_auc,smote_f1,smote_iso_ece,smote_iso_brier,smote_iso_auc,smote_iso_pr_auc,smote_iso_f1,smote_prior_ece,smote_prior_brier,smote_prior_auc,smote_prior_pr_auc,smote_prior_f1
pima,1.87,0,0.18411784162070388,0.21627971640963328,0.7856119402985074,0.6402452030302137,0.6027397260273972,0.18377888071832893,0.21454763002107713,0.799365671641791,0.6452976840049587,0.6319702602230484,0.045792037179157155,0.1829912132882706,0.7745223880597014,0.5950997614445026,0.5378151260504201,0.1874853673590497,0.21533776026645987,0.799365671641791,0.6452976840049587,0.6174757281553398
pima,1.87,1,0.19265157561066543,0.2181006300889461,0.789582089552239,0.6305266204391098,0.581888246628131,0.19202880317694865,0.2211736610037872,0.7939179104477612,0.6296232479775341,0.6287744227353463,0.04956920234313329,0.18520142531502362,0.767570895522388,0.6066848331791322,0.5783582089552238,0.19381850689253505,0.21990551716043338,0.7939179104477612,0.6296232479775341,0.603415559772296
pima,1.87,2,0.19365129177621015,0.22033579768964184,0.7852910447761193,0.6437463330085597,0.5962264150943396,0.2058677665862627,0.22422079544702134,0.7940000000000002,0.6527309386607987,0.6195652173913043,0.04963340404458263,0.19059622452947514,0.7542462686567164,0.5885702766887738,0.5618860510805501,0.2043441716165525,0.2231087328340832,0.7940000000000002,0.6527309386607987,0.6057142857142858
pima,1.87,3,0.17698570400370345,0.21461575090748886,0.789134328358209,0.6353364460769427,0.6212121212121212,0.19336357766169637,0.21920659596340886,0.7920671641791044,0.6414832807627802,0.635036496350365,0.08315740479621167,0.19373688228456287,0.7575149253731344,0.590489158112569,0.5906542056074766,0.1895464501105855,0.21916008655144037,0.7920671641791044,0.6414832807627802,0.6145038167938931
pima,1.87,4,0.18123574739514509,0.2097975804656768,0.7996119402985077,0.6509889407663072,0.6153846153846154,0.18533178820249885,0.21411661889654401,0.804089552238806,0.6503443525934169,0.6438848920863309,0.04113050562472711,0.17725893505655102,0.7920671641791045,0.6278515260054169,0.5849802371541502,0.18468434739858572,0.21123122148361143,0.804089552238806,0.6503443525934169,0.6404494382022472
pima,1.87,5,0.18275574173109294,0.21133079277195824,0.7890671641791046,0.6327209275505358,0.6127167630057804,0.1907408946093872,0.217322061820741,0.7976417910447762,0.6397159458983802,0.6352087114337568,0.047398014605675484,0.17844212140766458,0.7870597014925373,0.6359490586607878,0.5992366412213741,0.18840468524853526,0.21614725506944113,0.7976417910447762,0.6397159458983802,0.623574144486692
pima,1.87,6,0.18286101977464636,0.21544804419696784,0.7919850746268656,0.6325914281400218,0.6026871401151631,0.20516767683752574,0.23073719255985523,0.7866119402985075,0.6308445199178809,0.6137184115523465,0.051516174298646765,0.18688205661954424,0.7792052238805969,0.5972975721296913,0.573170731707317,0.21441082725805552,0.22921156849518978,0.7866119402985075,0.6308445199178809,0.5714285714285714
pima,1.87,7,0.17979918692959934,0.21054114267731858,0.7878059701492538,0.6351824061376783,0.6097087378640776,0.18716246585224694,0.21466519566253503,0.7946865671641792,0.6460528571323866,0.6263736263736264,0.0569655914655696,0.1756835814575716,0.7894962686567164,0.6554019206428564,0.6317757009345795,0.18124584143506456,0.21116966010996643,0.7946865671641792,0.6460528571323866,0.609375
pima,1.87,8,0.17996460747538523,0.2142438268366064,0.7894328358208955,0.618791905977157,0.6174757281553398,0.19411748143443433,0.21706355806623892,0.8020597014925374,0.6470488205061994,0.6240875912408759,0.05323781602251765,0.1750405285772569,0.7936977611940298,0.6320128762641691,0.6159695817490495,0.1939723743787817,0.21269657698966526,0.8020597014925374,0.6470488205061994,0.6192307692307693
pima,1.87,9,0.19670135497437097,0.22748571202589932,0.7739253731343284,0.6125965177116548,0.6022727272727273,0.2116304769859345,0.2344915788034303,0.7777238805970148,0.6374243300399881,0.6159420289855072,0.07879366647970454,0.1905361582796198,0.7598470149253731,0.5952070611726934,0.5877551020408164,0.2145978794597245,0.23073487024884018,0.7777238805970148,0.6374243300399881,0.5924528301886792
