dataset,ir,model,condition,seed,ece,brier,auc,pr_auc,f1
pima,1.87,histgb,E0_none,7,0.17979918692959934,0.21054114267731858,0.7878059701492538,0.6351824061376783,0.6097087378640776
pima,1.87,histgb,E0_none,8,0.17996460747538523,0.2142438268366064,0.7894328358208955,0.618791905977157,0.6174757281553398
pima,1.87,histgb,E0_none,9,0.19670135497437097,0.22748571202589932,0.7739253731343284,0.6125965177116548,0.6022727272727273
pima,1.87,histgb,E1_smote,0,0.19595916267727148,0.21997874475677656,0.7984552238805971,0.6425237536029714,0.6335174953959485
pima,1.87,histgb,E1_smote,1,0.18969214105591492,0.22195431190188175,0.7976791044776119,0.6433884951027709,0.6342342342342342
pima,1.87,histgb,E1_smote,2,0.1990465554140019,0.2173295027661352,0.8027313432835821,0.6772066165093203,0.625
pima,1.87,histgb,E1_smote,3,0.1845359262114708,0.2178246963990832,0.7887835820895522,0.6365570124519556,0.6372007366482505
pima,1.87,histgb,E1_smote,4,0.1904495886805037,0.21688456616995824,0.7982985074626866,0.6393143622951316,0.6376811594202898
pima,1.87,histgb,E1_smote,5,0.19708013834684185,0.2218772516137509,0.7916194029850746,0.6275806739609207,0.6357142857142857
pima,1.87,histgb,E1_smote,6,0.2067707067571793,0.22995831293127952,0.7884626865671642,0.6348347650481865,0.6101083032490975
pima,1.87,histgb,E1_smote,7,0.18363374694070356,0.21023649045417803,0.7982014925373134,0.6576777627945388,0.631768953068592
pima,1.87,histgb,E1_smote,8,0.19109534920724736,0.22065560482677013,0.7968358208955224,0.6385197534416831,0.6279491833030852
pima,1.87,histgb,E1_smote,9,0.21934185224259567,0.24088604219935408,0.7760746268656716,0.6268267049016837,0.6079136690647482
pima,1.87,histgb,E1_ros,0,0.20902508713011497,0.22766575197011063,0.7859925373134328,0.6355495168165537,0.5792563600782779
pima,1.87,histgb,E1_ros,1,0.19511223592425225,0.21703447310529755,0.7970074626865671,0.6316453363141697,0.6185185185185185
pima,1.87,histgb,E1_ros,2,0.21487906772963267,0.23081902085015613,0.7854477611940299,0.6443718305289722,0.5932835820895522
pima,1.87,histgb,E1_ros,3,0.19936267458667697,0.22129471564265712,0.7856716417910448,0.6349467192373038,0.6182495344506518
pima,1.87,histgb,E1_ros,4,0.18843186375838353,0.213351194968451,0.8061940298507464,0.6638777295492421,0.6290018832391714
pima,1.87,histgb,E1_ros,5,0.1842025433678593,0.2114959991172143,0.8019179104477612,0.6453342735072174,0.6368715083798883
pima,1.87,histgb,E1_ros,6,0.18592636836477366,0.22221923988499373,0.7894179104477612,0.6353910386207149,0.6259259259259259
pima,1.87,histgb,E1_ros,7,0.18496181303384168,0.21497593529341708,0.7948955223880597,0.6541794515069265,0.6247619047619047
pima,1.87,histgb,E1_ros,8,0.18740507953021346,0.21410245162559327,0.799089552238806,0.6460795483442489,0.6353383458646616
pima,1.87,histgb,E1_ros,9,0.21125351681803015,0.23564626711759018,0.7755223880597015,0.6105645622604967,0.599250936329588
pima,1.87,histgb,E1_rus,0,0.2002509081878071,0.2367678533746892,0.7770597014925373,0.6230156988068043,0.6206896551724138
pima,1.87,histgb,E1_rus,1,0.2002787774964584,0.22804343993717943,0.7872611940298507,0.6320094564199974,0.6447368421052632
pima,1.87,histgb,E1_rus,2,0.218692974829096,0.2437444092361578,0.7758432835820895,0.6282065085102629,0.6266233766233766
pima,1.87,histgb,E1_rus,3,0.21629096285650962,0.2417736577400619,0.7800820895522388,0.6452552165710341,0.6133768352365416
pima,1.87,histgb,E1_rus,4,0.1935075917814572,0.22138585413237213,0.8008656716417911,0.6593853091687756,0.6365159128978225
pima,1.87,histgb,E1_rus,5,0.20063514427382897,0.2340458074633814,0.7870970149253732,0.647583767059471,0.6390728476821192
pima,1.87,histgb,E1_rus,6,0.19318788273554793,0.2313413315773998,0.7880223880597016,0.6414345718167814,0.6418152350081038
pima,1.87,histgb,E1_rus,7,0.2072936494384972,0.23103813974700751,0.7813656716417909,0.6373841426052482,0.6324503311258278
pima,1.87,histgb,E1_rus,8,0.18177479534019486,0.2137827959765535,0.8058656716417909,0.6697720004873635,0.6600660066006601
pima,1.87,histgb,E1_rus,9,0.19849595785183732,0.23275892514809957,0.7835970149253733,0.6474351692866114,0.6345514950166113
pima,1.87,histgb,E2_cw,0,0.17763324417832832,0.21255618612939986,0.7892686567164179,0.6401795796385363,0.6083650190114068
pima,1.87,histgb,E2_cw,1,0.1840087437936983,0.21485755045581859,0.7932910447761193,0.6351844904871977,0.6096654275092936
pima,1.87,histgb,E2_cw,2,0.18125523201621357,0.21556666268354543,0.789962686567164,0.6458090581643224,0.63003663003663
pima,1.87,histgb,E2_cw,3,0.18428345842614177,0.2139721781868573,0.7880970149253732,0.6319133786712489,0.634508348794063
pima,1.87,histgb,E2_cw,4,0.17073922425399546,0.202428016913938,0.8043656716417911,0.6541176902229249,0.651685393258427
pima,1.87,histgb,E2_cw,5,0.18206820567248128,0.2137698132191734,0.7897537313432837,0.6265547539291074,0.6133828996282528
pima,1.87,histgb,E2_cw,6,0.1873323078845201,0.22501051871153557,0.7824776119402985,0.6213016651691994,0.6179159049360147
pima,1.87,histgb,E2_cw,7,0.19417930111742576,0.21981254807552356,0.7798656716417911,0.6285551979024901,0.6182495344506518
pima,1.87,histgb,E2_cw,8,0.17487696041563616,0.21255304775748107,0.7916791044776119,0.6272544835446845,0.6236162361623616
pima,1.87,histgb,E2_cw,9,0.19623211951121952,0.22748628841650062,0.7757462686567165,0.6118279638915949,0.5977859778597786
pima,1.87,histgb,E3_smote_platt,0,0.050451342213527275,0.1778491595319128,0.7837014925373135,0.6461248516402722,0.5347826086956522
pima,1.87,histgb,E3_smote_platt,1,0.04494293080401958,0.17624317152494728,0.7883582089552239,0.6281197452682402,0.568
pima,1.87,histgb,E3_smote_platt,2,0.025105324984237464,0.17347618272095833,0.7919029850746268,0.6531761877644928,0.5860655737704918
pima,1.87,histgb,E3_smote_platt,3,0.03146130338817243,0.1790278117010203,0.7802985074626866,0.6185981757586266,0.5714285714285714
pima,1.87,histgb,E3_smote_platt,4,0.03561467235316082,0.172719755838905,0.7977089552238807,0.6417003224996105,0.6031746031746031
pima,1.87,histgb,E3_smote_platt,5,0.039585063117652856,0.17978537525550953,0.7808582089552238,0.6221345269075663,0.5253863134657837
pima,1.87,histgb,E3_smote_platt,6,0.041796295082472,0.1789365831717311,0.7813059701492537,0.6358539820265101,0.6189555125725339
pima,1.87,histgb,E3_smote_platt,7,0.06154853766733786,0.1736311106209528,0.7919701492537313,0.6514922099735893,0.5649484536082474
pima,1.87,histgb,E3_smote_platt,8,0.03928120409292519,0.17813071420122942,0.7860671641791045,0.6102609658738093,0.5720081135902637
pima,1.87,histgb,E3_smote_platt,9,0.0316908061823135,0.1787768597354448,0.7812462686567164,0.6341733436260008,0.5806451612903226
pima,1.87,histgb,E3_smote_iso,0,0.04424605086667673,0.18088906186778106,0.7826007462686566,0.6279516973810633,0.5754527162977867
pima,1.87,histgb,E3_smote_iso,1,0.06503855866646462,0.18303575852009288,0.7727835820895523,0.6033726047522231,0.6164383561643836
pima,1.87,histgb,E3_smote_iso,2,0.05346598585092219,0.1822272724769609,0.7791156716417911,0.6251060949843196,0.5868263473053892
pima,1.87,histgb,E3_smote_iso,3,0.04807546658701146,0.18600585620897894,0.770179104477612,0.6026770117562339,0.5748502994011976
pima,1.87,histgb,E3_smote_iso,4,0.057942369026505784,0.17967240928627773,0.7853582089552239,0.6273933297904382,0.5651302605210421
pima,1.87,histgb,E3_smote_iso,5,0.04573812610746303,0.1829082096007273,0.7777089552238806,0.5997180694470422,0.510158013544018
pima,1.87,histgb,E3_smote_iso,6,0.05795875715996478,0.18435187205674933,0.7724291044776119,0.6178230961223296,0.6156648451730419
pima,1.87,histgb,E3_smote_iso,7,0.06069832310534319,0.1788133428572282,0.7847276119402985,0.6379498145077941,0.5668016194331984
pima,1.87,histgb,E3_smote_iso,8,0.05738444236651724,0.18409720326267973,0.7790410447761194,0.6074747301893627,0.5918762088974855
pima,1.87,histgb,E3_smote_iso,9,0.04789398247557537,0.1859768321953222,0.7650522388059702,0.616275113692977,0.5089285714285714
credit_g,2.33,rf,E0_none,0,0.040674999999999996,0.16354645833333334,0.7907000000000001,0.6234364478153478,0.511340206185567
credit_g,2.33,rf,E0_none,1,0.02888333333333333,0.16481166666666666,0.7859928571428572,0.6079336976177211,0.48822269807280516
credit_g,2.33,rf,E0_none,2,0.03655,0.16337541666666666,0.7889666666666667,0.6247254569756315,0.5062761506276151
credit_g,2.33,rf,E0_none,3,0.024958333333333353,0.16575368055555556,0.7821761904761905,0.6135490954549108,0.48851774530271397
credit_g,2.33,rf,E0_none,4,0.04350833333333334,0.16340826388888888,0.7895023809523809,0.6296898951863675,0.5195876288659794
credit_g,2.33,rf,E0_none,5,0.03411666666666668,0.1643384722222222,0.78525,0.6293177253381531,0.5135699373695198
credit_g,2.33,rf,E0_none,6,0.029083333333333326,0.16710736111111113,0.7778666666666667,0.6054417352773804,0.4666666666666667
credit_g,2.33,rf,E0_none,7,0.03499166666666668,0.16182145833333333,0.7952142857142858,0.6332103033212272,0.5020746887966805
credit_g,2.33,rf,E0_none,8,0.02989166666666668,0.16563270833333335,0.7809619047619049,0.6181621526605754,0.4957627118644068
credit_g,2.33,rf,E0_none,9,0.038000000000000006,0.16554222222222223,0.7815095238095239,0.618196080125744,0.464818763326226
credit_g,2.33,rf,E1_smote,0,0.03510833333333334,0.16461034722222223,0.7874452380952381,0.6099531138243058,0.5330739299610895
credit_g,2.33,rf,E1_smote,1,0.03930833333333335,0.16638756944444447,0.7819238095238095,0.6023314885002462,0.5335968379446641
credit_g,2.33,rf,E1_smote,2,0.04757499999999998,0.16510881944444447,0.784754761904762,0.6163626542074111,0.5398058252427185
credit_g,2.33,rf,E1_smote,3,0.040133333333333354,0.16516722222222222,0.7865833333333333,0.6138865164199134,0.504930966469428
credit_g,2.33,rf,E1_smote,4,0.04200833333333332,0.16330298611111113,0.7916714285714285,0.6204087169464495,0.530938123752495
credit_g,2.33,rf,E1_smote,5,0.050416666666666686,0.16476388888888888,0.7835761904761904,0.6264570890859752,0.556420233463035
credit_g,2.33,rf,E1_smote,6,0.033175,0.1672992361111111,0.7799428571428572,0.5983013035704916,0.5167652859960552
credit_g,2.33,rf,E1_smote,7,0.03396666666666667,0.16476583333333333,0.7862666666666667,0.6185583105970562,0.5188118811881188
credit_g,2.33,rf,E1_smote,8,0.03219999999999998,0.16498583333333336,0.7874738095238095,0.6126518003082306,0.5155038759689923
credit_g,2.33,rf,E1_smote,9,0.04420833333333334,0.1652392361111111,0.7841190476190476,0.6275848185449685,0.5254901960784314
credit_g,2.33,rf,E1_ros,0,0.05408333333333335,0.16845333333333332,0.7832238095238095,0.5959015204630458,0.5392857142857143
credit_g,2.33,rf,E1_ros,1,0.05511666666666666,0.16859027777777777,0.778747619047619,0.6088504685025399,0.5451197053406999
credit_g,2.33,rf,E1_ros,2,0.061341666666666655,0.16327048611111109,0.7967428571428571,0.6386763570402305,0.5825932504440497
credit_g,2.33,rf,E1_ros,3,0.05060833333333333,0.166745625,0.7859190476190476,0.613847404845667,0.5407407407407407
credit_g,2.33,rf,E1_ros,4,0.05335833333333332,0.16825951388888888,0.7815452380952381,0.6072006174291127,0.5518518518518518
credit_g,2.33,rf,E1_ros,5,0.06188333333333334,0.16495972222222224,0.7888761904761905,0.6377757928481754,0.5688073394495413
credit_g,2.33,rf,E1_ros,6,0.04941666666666669,0.1681951388888889,0.7829214285714285,0.5950086719143904,0.5405405405405406
credit_g,2.33,rf,E1_ros,7,0.05258333333333335,0.16666861111111111,0.7851523809523809,0.6139095284661141,0.5533453887884268
credit_g,2.33,rf,E1_ros,8,0.052958333333333336,0.16578506944444443,0.7871142857142858,0.6167655707954288,0.5547445255474452
credit_g,2.33,rf,E1_ros,9,0.05265833333333332,0.16928243055555556,0.7761976190476191,0.6065213663056244,0.5516014234875445
credit_g,2.33,rf,E1_rus,0,0.15943333333333334,0.1934188888888889,0.7795190476190476,0.5963262335948404,0.5904255319148937
credit_g,2.33,rf,E1_rus,1,0.1620166666666667,0.19447833333333336,0.7806785714285714,0.5916203063511483,0.6117021276595744
credit_g,2.33,rf,E1_rus,2,0.15610833333333335,0.1934479861111111,0.7752904761904762,0.6010628255548709,0.5764546684709067
credit_g,2.33,rf,E1_rus,3,0.15801666666666672,0.1943826388888889,0.7734785714285715,0.5838665766337217,0.5833333333333334
credit_g,2.33,rf,E1_rus,4,0.1602833333333334,0.19402277777777777,0.7794119047619048,0.5827828198395746,0.5815217391304348
credit_g,2.33,rf,E1_rus,5,0.15895833333333337,0.192161875,0.7821261904761905,0.6192034675483659,0.6032608695652174
credit_g,2.33,rf,E1_rus,6,0.157275,0.19423020833333335,0.7744904761904763,0.574346490058287,0.6114819759679573
credit_g,2.33,rf,E1_rus,7,0.16308333333333333,0.19247944444444443,0.7863809523809524,0.6016166656777228,0.6032171581769437
credit_g,2.33,rf,E1_rus,8,0.16183333333333336,0.19341069444444445,0.7816142857142857,0.5953330203474104,0.5879120879120879
credit_g,2.33,rf,E1_rus,9,0.157025,0.19225881944444445,0.7805119047619047,0.6025088009730567,0.5876010781671159
credit_g,2.33,rf,E2_cw,0,0.041583333333333306,0.16304694444444445,0.7919547619047619,0.6297229070908994,0.49572649572649574
credit_g,2.33,rf,E2_cw,1,0.03940833333333332,0.16576368055555554,0.7833452380952381,0.6047384382497734,0.4685466377440347
credit_g,2.33,rf,E2_cw,2,0.0297,0.16355902777777778,0.7908761904761904,0.6149539237693855,0.49678800856531047
credit_g,2.33,rf,E2_cw,3,0.02530833333333334,0.16542506944444446,0.7827904761904763,0.6198974806999322,0.47186147186147187
credit_g,2.33,rf,E2_cw,4,0.021208333333333333,0.16616381944444442,0.7821571428571429,0.6049779306682134,0.46220302375809935
credit_g,2.33,rf,E2_cw,5,0.03423333333333335,0.16425625000000002,0.7864261904761904,0.6259212938719871,0.49676025917926564
credit_g,2.33,rf,E2_cw,6,0.035366666666666664,0.16619152777777776,0.7842666666666666,0.5989776206403009,0.437636761487965
credit_g,2.33,rf,E2_cw,7,0.04142499999999999,0.16261979166666665,0.7933761904761906,0.6302217613007666,0.47058823529411764
credit_g,2.33,rf,E2_cw,8,0.02540833333333334,0.16367631944444444,0.7882809523809524,0.6257477440207114,0.48590021691973967
credit_g,2.33,rf,E2_cw,9,0.03336666666666669,0.16360555555555556,0.7862523809523809,0.6353341173942824,0.4978165938864629
credit_g,2.33,rf,E3_smote_platt,0,0.023403248189781983,0.16737132948432637,0.7766023809523809,0.5960613995816204,0.5130260521042084
credit_g,2.33,rf,E3_smote_platt,1,0.026057349998018405,0.17324909720550152,0.7542142857142856,0.5729788305531718,0.4691358024691358
credit_g,2.33,rf,E3_smote_platt,2,0.02130731330110966,0.16831845599587292,0.7770761904761905,0.5872199456726529,0.5149700598802395
credit_g,2.33,rf,E3_smote_platt,3,0.013143337370652743,0.16707645946514776,0.770752380952381,0.5994838199917333,0.5304518664047151
credit_g,2.33,rf,E3_smote_platt,4,0.03253092656939503,0.1702240611656447,0.7731309523809524,0.5979204374364896,0.5171102661596958
credit_g,2.33,rf,E3_smote_platt,5,0.0247015291531579,0.16877061859496936,0.7676857142857143,0.6002942920983547,0.4511930585683297
credit_g,2.33,rf,E3_smote_platt,6,0.030502965396837427,0.16980004000516982,0.7711666666666668,0.573411376466402,0.4673684210526316
credit_g,2.33,rf,E3_smote_platt,7,0.02002053856559177,0.16704207440938973,0.7769952380952381,0.6085511658375398,0.5009861932938856
credit_g,2.33,rf,E3_smote_platt,8,0.025932555104086295,0.17033415730797974,0.7699285714285713,0.5791393736193505,0.483739837398374
credit_g,2.33,rf,E3_smote_platt,9,0.02529704579045569,0.16979042028490315,0.7690357142857143,0.5947086918980984,0.5019305019305019
credit_g,2.33,rf,E3_smote_iso,0,0.03877171266834043,0.17370000000125335,0.7624928571428571,0.563645229575969,0.48360655737704916
credit_g,2.33,rf,E3_smote_iso,1,0.03174529622622781,0.17465588508008348,0.7532857142857143,0.563795087737306,0.40271493212669685
credit_g,2.33,rf,E3_smote_iso,2,0.02034699376601453,0.1717160625970237,0.7686190476190475,0.5745226059878171,0.49500998003992014
credit_g,2.33,rf,E3_smote_iso,3,0.05843833198417031,0.17163539343021114,0.7694690476190477,0.5823371011347228,0.49377593360995853
credit_g,2.33,rf,E3_smote_iso,4,0.06017871084975708,0.1764059857389576,0.7637571428571428,0.5655304114141302,0.5274725274725275
credit_g,2.33,rf,E3_smote_iso,5,0.02776672896951013,0.16899702650863538,0.765697619047619,0.5917941413232773,0.4406047516198704
credit_g,2.33,rf,E3_smote_iso,6,0.04851215456889132,0.17773546576513302,0.7574714285714286,0.5478807818778756,0.47035573122529645
credit_g,2.33,rf,E3_smote_iso,7,0.0414779857477408,0.17075914786944632,0.7691738095238095,0.5691409804309437,0.49019607843137253
credit_g,2.33,rf,E3_smote_iso,8,0.05078181103127554,0.17724697830333286,0.7611142857142859,0.5475431453561889,0.4528301886792453
credit_g,2.33,rf,E3_smote_iso,9,0.042679304303252036,0.17346807406810427,0.7597261904761905,0.5791410286627864,0.44635193133047213
credit_g,2.33,histgb,E0_none,0,0.149320725808332,0.19278738931187725,0.7719761904761905,0.5968656336851973,0.5559701492537313
credit_g,2.33,histgb,E0_none,1,0.1562560678574596,0.19374285819675047,0.7702428571428571,0.6209529756238705,0.5301645338208409
credit_g,2.33,histgb,E0_none,2,0.1636022729567442,0.20060545070483418,0.7638095238095238,0.5945238742370227,0.5274336283185841
credit_g,2.33,histgb,E0_none,3,0.1519444480777604,0.19648151076604217,0.7673476190476191,0.6070836463369822,0.5315985130111525
credit_g,2.33,histgb,E0_none,4,0.16462952178044307,0.19884532574573638,0.7673285714285715,0.5940391455840073,0.5263157894736842
credit_g,2.33,histgb,E0_none,5,0.13848508289436318,0.18397887610251906,0.7734714285714285,0.641032350769568,0.5423728813559322
credit_g,2.33,histgb,E0_none,6,0.14976840729252353,0.19045006834991746,0.776495238095238,0.6087151561382023,0.5215759849906192
